Step,Anneal_Percent,Energy
0,0.0,-864.0
1,1.0101010101010102,-857.039551473857
2,2.0202020202020203,-850.0874456557211
3,3.0303030303030303,-843.1402343724624
4,4.040404040404041,-836.1871970792703
5,5.05050505050505,-829.2149529701735
6,6.0606060606060606,-822.2108236184707
7,7.07070707070707,-815.1682089261958
8,8.080808080808081,-808.0871698432587
9,9.090909090909092,-800.9826915640617
10,10.1010101010101,-793.8618710436529
11,11.11111111111111,-786.7407767160275
12,12.121212121212121,-779.633836230749
13,13.131313131313133,-772.5520912924968
14,14.14141414141414,-765.4980120645785
15,15.151515151515152,-758.4668508859398
16,16.161616161616163,-751.4467855694439
17,17.17171717171717,-744.4189054054049
18,18.181818181818183,-737.3626037244411
19,19.19191919191919,-730.2575325951285
20,20.2020202020202,-723.083249534132
21,21.21212121212121,-715.8272906167973
22,22.22222222222222,-708.4799140050161
23,23.232323232323232,-701.037240067402
24,24.242424242424242,-693.5011459241324
25,25.252525252525253,-685.8779889629858
26,26.262626262626267,-678.177223907598
27,27.27272727272727,-670.407236026885
28,28.28282828282828,-662.5748695143578
29,29.292929292929294,-654.6865521506666
30,30.303030303030305,-646.7395533523584
31,31.313131313131315,-638.7314024542179
32,32.323232323232325,-630.6519677765323
33,33.33333333333333,-622.4855766999469
34,34.34343434343434,-614.2127206507723
35,35.35353535353536,-605.8064478296516
36,36.36363636363637,-597.244071451583
37,37.37373737373738,-588.4962766514213
38,38.38383838383838,-579.5285320846896
39,39.39393939393939,-570.3099943353591
40,40.4040404040404,-560.8089763090046
41,41.41414141414141,-550.9916310259125
42,42.42424242424242,-540.8257097105354
43,43.43434343434344,-530.2789509385585
44,44.44444444444444,-519.3286174368453
45,45.45454545454545,-507.943613207978
46,46.464646464646464,-496.10684322716054
47,47.474747474747474,-483.8082308923615
48,48.484848484848484,-471.0350286914884
49,49.494949494949495,-457.7904506476886
50,50.505050505050505,-444.0911227122809
51,51.515151515151516,-429.95476723753717
52,52.52525252525253,-415.42109890251936
53,53.535353535353536,-400.53886834247146
54,54.54545454545454,-385.36549908927185
55,55.55555555555556,-369.98160862056585
56,56.56565656565656,-354.4839019824598
57,57.57575757575758,-338.969133575865
58,58.58585858585859,-323.5671097371207
59,59.59595959595959,-308.409371374744
60,60.60606060606061,-293.6336031386252
61,61.61616161616161,-279.40519810059544
62,62.62626262626263,-265.8706736765354
63,63.63636363636363,-253.18326647820288
64,64.64646464646465,-241.46014428529057
65,65.65656565656566,-230.80939818339294
66,66.66666666666666,-221.3049107920795
67,67.67676767676768,-212.96830804952793
68,68.68686868686868,-205.77605361118657
69,69.6969696969697,-199.65459382117837
70,70.70707070707071,-194.48500844242525
71,71.71717171717171,-190.09446775804346
72,72.72727272727273,-186.29714283667053
73,73.73737373737373,-182.8598860266549
74,74.74747474747475,-179.56418844399
75,75.75757575757575,-176.16285018809901
76,76.76767676767676,-172.4393528759224
77,77.77777777777779,-168.19386476959335
78,78.78787878787878,-163.26063980899625
79,79.7979797979798,-157.52395848856185
80,80.8080808080808,-150.92458469987162
81,81.81818181818183,-143.458629449583
82,82.82828282828282,-135.19890931905687
83,83.83838383838383,-126.27986307843364
84,84.84848484848484,-116.89229420372713
85,85.85858585858585,-107.27987283240553
86,86.86868686868688,-97.73284678380205
87,87.87878787878788,-88.56635487550263
88,88.88888888888889,-80.08080221785173
89,89.8989898989899,-72.55233064150057
90,90.9090909090909,-66.20173748216278
91,91.91919191919192,-61.16184593508867
92,92.92929292929293,-57.490459863305546
93,93.93939393939394,-55.13295181213167
94,94.94949494949495,-53.93510070754632
95,95.95959595959596,-53.67537600618689
96,96.96969696969697,-54.05132367173458
97,97.97979797979798,-54.72612513553745
98,98.98989898989899,-55.37134998294742
99,100.0,-55.674850009363254
